component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
中午几点吃饭,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpmyr7t4ox.json,知识库问答,,5ebc6c01ca584021998a85ef828dd1e4,2023-07-06 16:25:36.573155
午餐时间几点,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmp9n8t5dbz.json,知识库问答,,5ebc6c01ca584021998a85ef828dd1e4,2023-07-06 16:25:53.770241
中午几点吃饭,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpu80r981z.json,知识库问答,,5ebc6c01ca584021998a85ef828dd1e4,2023-07-06 16:26:14.076291
中午吃饭时间多久,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpac3x4sbt.json,知识库问答,,5ebc6c01ca584021998a85ef828dd1e4,2023-07-06 16:26:35.193158
镁伽入职应该注意什么,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpjlx5kq5k.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:39:42.668320
介绍下镁伽,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpoxucoz1w.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:39:57.372612
"你是谁  , 你能做什么",/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmp2uj8xkzk.json,LLM 对话,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:41:05.883204
入职培训都有哪些内容？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpbc31it0t.json,知识库测试,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:46:52.567894
对镁伽做个介绍,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmp3d0wog1o.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:47:10.947972
对镁伽做个介绍,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpkjd73cth.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:48:09.587200
入职培训都有哪些内容？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpsc2oj6z1.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:48:11.650899
入职手续怎么办,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpt8k2vyiu.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:51:00.665488
公司事假管理的政策？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpkkqdhdlf.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:51:15.813762
镁伽入职手续,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmp387oe624.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:51:35.982127
公司的假期政策是什么？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmp6dlt3de4.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:53:38.536907
公司的丧假制度是什么？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpscmwklhw.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:54:17.526785
公司的婚假制度是什么？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpbfg7o7h8.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:54:57.113530
公司的产假政策是什么？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpm17wy44m.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:56:33.068479
公司对出差是如何规定的？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpxyrm0omy.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 09:57:41.823462
如何报销？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmp930gi0zd.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 10:02:50.699429
公司报销流程是什么？,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/knowledge_base/weiC/vector_store,/root/autodl-tmp/ChatGLM/langchain-ChatGLM/flagged/component 2/tmpwnnjkqc6.json,知识库问答,,f9783c45673a4ee7a9538f9557e95e0a,2023-07-07 10:04:35.330409
